id,name,country,group,national_group
197808,Pietro BARTOLO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico
197671,Traian BĂSESCU,Romania,Group of the European People's Party (Christian Democrats),Partidul Mișcarea Populară
197610,Alessandra BASSO,Italy,Identity and Democracy Group,Lega
197779,José Ramón BAUZÁ DÍAZ,Spain,Renew Europe Group,Ciudadanos – Partido de la Ciudadanía
124760,Nicolas BAY,France,Identity and Democracy Group,Rassemblement national
132191,Gunnar BECK,Germany,Identity and Democracy Group,Alternative für Deutschland
197437,Nicola BEER,Germany,Renew Europe Group,Freie Demokratische Partei
124777,Tiziana BEGHIN,Italy,Non-attached Members,Movimento 5 Stelle
197680,Aurélia BEIGNEUX,France,Identity and Democracy Group,Rassemblement national
197496,Marek BELKA,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sojusz Lewicy Demokratycznej
197534,François-Xavier BELLAMY,France,Group of the European People's Party (Christian Democrats),Les Républicains
197658,Adrian-Dragoş BENEA,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partidul Social Democrat
124867,Brando BENIFEI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico
197679,Isabel BENJUMEA BENJUMEA,Spain,Group of the European People's Party (Christian Democrats),Partido Popular
23868,Monika BEŇOVÁ,Slovakia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,SMER-Sociálna demokracia
197408,Hildegard BENTELE,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
197778,Tom BERENDSEN,Netherlands,Group of the European People's Party (Christian Democrats),Christen Democratisch Appèl
197478,Lars Patrick BERG,Germany,European Conservatives and Reformists Group,Liberal-Conservative Refomists
197410,Stefan BERGER,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
197396,Erik BERGKVIST,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Arbetarepartiet- Socialdemokraterna
4746,Sergio BERLATO,Italy,European Conservatives and Reformists Group,Fratelli d'Italia
4391,Silvio BERLUSCONI,Italy,Group of the European People's Party (Christian Democrats),Forza Italia
197648,Alexander BERNHUBER,Austria,Group of the European People's Party (Christian Democrats),Österreichische Volkspartei
197498,Robert BIEDROŃ,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Wiosna
23788,Adam BIELAN,Poland,European Conservatives and Reformists Group,Partia Republikańska
197551,Stéphane BIJOUX,France,Renew Europe Group,La République en marche
96922,Izaskun BILBAO BARANDICA,Spain,Renew Europe Group,Partido Nacionalista Vasco
197771,Vladimír BILČÍK,Slovakia,Group of the European People's Party (Christian Democrats),SPOLU – občianska demokracia
124771,Dominique BILDE,France,Identity and Democracy Group,Rassemblement national
197435,Gabriele BISCHOFF,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands
197512,Benoît BITEAU,France,Group of the Greens/European Free Alliance,Europe Écologie
97198,Mara BIZZOTTO,Italy,Identity and Democracy Group,Lega
124992,Malin BJÖRK,Sweden,The Left group in the European Parliament - GUE/NGL,Vänsterpartiet
197637,Vasile BLAGA,Romania,Group of the European People's Party (Christian Democrats),Partidul Naţional Liberal
197564,Hynek BLAŠKO,Czechia,Identity and Democracy Group,Svoboda a přímá demokracie
96681,Vilija BLINKEVIČIŪTĖ,Lithuania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Lietuvos socialdemokratų partija
197449,Michael BLOSS,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
124712,Andrea BOCSKOR,Hungary,Non-attached Members,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
197439,Damian BOESELAGER,Germany,Group of the Greens/European Free Alliance,Volt
197636,Ioan-Rareş BOGDAN,Romania,Group of the European People's Party (Christian Democrats),Partidul Naţional Liberal
125004,Franc BOGOVIČ,Slovenia,Group of the European People's Party (Christian Democrats),Slovenska ljudska stranka
197521,Manuel BOMPARD,France,The Left group in the European Parliament - GUE/NGL,La France Insoumise
124814,Simona BONAFÈ,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico
197788,Anna BONFRISCO,Italy,Identity and Democracy Group,Lega
101039,Paolo BORCHIA,Italy,Identity and Democracy Group,Lega
112748,Biljana BORZAN,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socijaldemokratska partija Hrvatske
187917,Marc BOTENGA,Belgium,The Left group in the European Parliament - GUE/NGL,Parti du Travail de Belgique
197668,Vlad-Marius BOTOŞ,Romania,Renew Europe Group,Uniunea Salvați România
197467,Geert BOURGEOIS,Belgium,European Conservatives and Reformists Group,Nieuw-Vlaamse Alliantie
197577,Gilles BOYER,France,Renew Europe Group,Indépendant
226260,Karolin BRAUNSBERGER-REINHOLD,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
197431,Patrick BREYER,Germany,Group of the Greens/European Free Alliance,Piratenpartei Deutschland
197446,Milan BRGLEZ,Slovenia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socialni demokrati
197470,Saskia BRICMONT,Belgium,Group of the Greens/European Free Alliance,Ecologistes Confédérés pour l'Organisation de Luttes Originales
197501,Joachim Stanisław BRUDZIŃSKI,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość
182995,Annika BRUNA,France,Identity and Democracy Group,Rassemblement national
197576,Sylvie BRUNET,France,Renew Europe Group,Mouvement Démocrate
128483,Markus BUCHHEIT,Germany,Identity and Democracy Group,Alternative für Deutschland
125012,Daniel BUDA,Romania,Group of the European People's Party (Christian Democrats),Partidul Naţional Liberal
4267,Udo BULLMANN,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands
197440,Delara BURKHARDT,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands
197434,Martin BUSCHMANN,Germany,Non-attached Members,Independent
38420,Cristian-Silviu BUŞOI,Romania,Group of the European People's Party (Christian Democrats),Partidul Naţional Liberal
96739,Reinhard BÜTIKOFER,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
197829,Jorge BUXADÉ VILLALBA,Spain,European Conservatives and Reformists Group,VOX
28269,Jerzy BUZEK,Poland,Group of the European People's Party (Christian Democrats),Platforma Obywatelska
197617,Carlo CALENDA,Italy,Renew Europe Group,Azione
35016,Marco CAMPOMENOSI,Italy,Identity and Democracy Group,Lega
126644,Jordi CAÑAS,Spain,Renew Europe Group,Ciudadanos – Partido de la Ciudadanía
96711,Pascal CANFIN,France,Renew Europe Group,Liste Renaissance
197574,Damien CARÊME,France,Group of the Greens/European Free Alliance,Europe Écologie
197797,Andrea CAROPPO,Italy,Group of the European People's Party (Christian Democrats),Sud in Testa
199996,Isabel CARVALHAIS,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista
96867,Maria da Graça CARVALHO,Portugal,Group of the European People's Party (Christian Democrats),Partido Social Democrata
28122,David CASA,Malta,Group of the European People's Party (Christian Democrats),Partit Nazzjonalista
197796,Massimo CASANOVA,Italy,Identity and Democracy Group,Lega
28219,Daniel CASPARY,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
124812,Fabio Massimo CASTALDO,Italy,Non-attached Members,Movimento 5 Stelle
28390,Pilar del CASTILLO VERA,Spain,Group of the European People's Party (Christian Democrats),Partido Popular
86793,Anna CAVAZZINI,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
197786,Susanna CECCARDI,Italy,Identity and Democracy Group,Lega
197641,Sara CERDAS,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista
197505,Catherine CHABAUD,France,Renew Europe Group,Mouvement Démocrate
197782,Mohammed CHAHIM,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partij van de Arbeid
197529,Leila CHAIBI,France,The Left group in the European Parliament - GUE/NGL,La France Insoumise
124708,Dita CHARANZOVÁ,Czechia,Renew Europe Group,ANO 2011
197463,Olivier CHASTEL,Belgium,Renew Europe Group,Mouvement Réformateur
124861,Caterina CHINNICI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico
197558,Asger CHRISTENSEN,Denmark,Renew Europe Group,"Venstre, Danmarks Liberale Parti"
26837,Lefteris CHRISTOFOROU,Cyprus,Group of the European People's Party (Christian Democrats),Democratic Rally
204416,Ilana CICUREL,France,Renew Europe Group,Liste Renaissance
197507,Włodzimierz CIMOSZEWICZ,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sojusz Lewicy Demokratycznej - Unia Pracy
183793,Angelo CIOCCA,Italy,Identity and Democracy Group,Lega
197631,Dacian CIOLOŞ,Romania,Renew Europe Group,"Partidul Libertate, Unitate și Solidaritate"
197657,Tudor CIUHODARU,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partidul Social Democrat
197761,Miroslav ČÍŽ,Slovakia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,SMER-Sociálna demokracia
124988,Deirdre CLUNE,Ireland,Group of the European People's Party (Christian Democrats),Fine Gael Party
197536,Nathalie COLIN-OESTERLÉ,France,Group of the European People's Party (Christian Democrats),Les centristes
197683,Gilbert COLLARD,France,Identity and Democracy Group,Rassemblement national
202352,Antoni COMÍN I OLIVERES,Spain,Non-attached Members,Junts per Catalunya - Lliures per Europa
197616,Rosanna CONTE,Italy,Identity and Democracy Group,Lega
197503,David CORMAND,France,Group of the Greens/European Free Alliance,Europe Écologie
124856,Ignazio CORRAO,Italy,Group of the Greens/European Free Alliance,Independent
96880,Andrea COZZOLINO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico
33997,Corina CREȚU,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,PRO Romania
197588,Katalin CSEH,Hungary,Renew Europe Group,Momentum
197654,Ciarán CUFFE,Ireland,Group of the Greens/European Free Alliance,Green Party
197394,Josianne CUTAJAR,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partit Laburista
28372,Ryszard CZARNECKI,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość
96809,Peter van DALEN,Netherlands,Group of the European People's Party (Christian Democrats),ChristenUnie
183338,Jakop G. DALUNDE,Sweden,Group of the Greens/European Free Alliance,Miljöpartiet de gröna
197731,Clare DALY,Ireland,The Left group in the European Parliament - GUE/NGL,Independents for change
124835,Rosa D'AMATO,Italy,Group of the Greens/European Free Alliance,Independent
38542,Johan DANIELSSON,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Arbetarepartiet- Socialdemokraterna
96747,Arnaud DANJEAN,France,Group of the European People's Party (Christian Democrats),Les Républicains
124821,Nicola DANTI,Italy,Renew Europe Group,Italia Viva
197608,Gianantonio DA RE,Italy,Identity and Democracy Group,Lega
197556,Ivan DAVID,Czechia,Identity and Democracy Group,Svoboda a přímá demokracie
204414,Margarita DE LA PISA CARRIÓN,Spain,European Conservatives and Reformists Group,VOX
204333,Salvatore DE MEO,Italy,Group of the European People's Party (Christian Democrats),Forza Italia
96891,Paolo DE CASTRO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico
197504,Jérémy DECERLE,France,Renew Europe Group,Liste Renaissance
197531,Gwendoline DELBOS-CORFIELD,France,Group of the Greens/European Free Alliance,Europe Écologie
124714,Andor DELI,Hungary,Non-attached Members,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
96868,Karima DELLI,France,Group of the Greens/European Free Alliance,Europe Écologie
197472,Filip DE MAN,Belgium,Identity and Democracy Group,Vlaams Belang
197468,Özlem DEMIREL,Germany,The Left group in the European Parliament - GUE/NGL,DIE LINKE.
197453,Anna DEPARNAY-GRUNENBERG,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
96826,Tamás DEUTSCH,Hungary,Non-attached Members,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
190774,Geoffroy DIDIER,France,Group of the European People's Party (Christian Democrats),Les Républicains
124709,Martina DLABAJOVÁ,Czechia,Renew Europe Group,ANO 2011
197579,Klára DOBREV,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Demokratikus Koalíció
197473,Christian DOLESCHAL,Germany,Group of the European People's Party (Christian Democrats),Christlich-Soziale Union in Bayern e.V.
197595,Anna Júlia DONÁTH,Hungary,Renew Europe Group,Momentum
197822,Francesca DONATO,Italy,Non-attached Members,Independent
96787,Herbert DORFMANN,Italy,Group of the European People's Party (Christian Democrats),Südtiroler Volkspartei
197614,Marco DREOSTO,Italy,Identity and Democracy Group,Lega
197510,Jarosław DUDA,Poland,Group of the European People's Party (Christian Democrats),Platforma Obywatelska
99945,Lena DÜPONT,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
198329,Estrella DURÁ FERRANDIS,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español
124693,Pascal DURAND,France,Renew Europe Group,Liste Renaissance
197766,Lucia ĎURIŠ NICHOLSONOVÁ,Slovakia,Renew Europe Group,Independent
124873,Angel DZHAMBAZKI,Bulgaria,European Conservatives and Reformists Group,VMRO
28226,Christian EHLER,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
96725,Bas EICKHOUT,Netherlands,Group of the Greens/European Free Alliance,GroenLinks
209091,Cyrus ENGERER,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partit Laburista
96852,Cornelia ERNST,Germany,The Left group in the European Parliament - GUE/NGL,DIE LINKE.
197430,Engin EROGLU,Germany,Renew Europe Group,Freie Wähler
96842,Ismail ERTUG,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands
96811,Rosa ESTARÀS FERRAGUT,Spain,Group of the European People's Party (Christian Democrats),Partido Popular
124779,Eleonora EVI,Italy,Group of the Greens/European Free Alliance,Europa Verde
197535,Agnès EVREN,France,Group of the European People's Party (Christian Democrats),Les Républicains
96911,Tanja FAJON,Slovenia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socialni demokrati
197649,Gheorghe FALCĂ,Romania,Group of the European People's Party (Christian Democrats),Partidul Naţional Liberal
197589,Laurence FARRENG,France,Renew Europe Group,Mouvement Démocrate
1917,Markus FERBER,Germany,Group of the European People's Party (Christian Democrats),Christlich-Soziale Union in Bayern e.V.
96899,José Manuel FERNANDES,Portugal,Group of the European People's Party (Christian Democrats),Partido Social Democrata
125046,Jonás FERNÁNDEZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español
192634,Giuseppe FERRANDINO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico
124833,Laura FERRARA,Italy,Non-attached Members,Movimento 5 Stelle
197480,Nicolaus FEST,Germany,Identity and Democracy Group,Alternative für Deutschland
96810,Carlo FIDANZA,Italy,European Conservatives and Reformists Group,Fratelli d'Italia
197607,Pietro FIOCCHI,Italy,European Conservatives and Reformists Group,Fratelli d'Italia
4465,Raffaele FITTO,Italy,European Conservatives and Reformists Group,Fratelli d'Italia
197720,Frances FITZGERALD,Ireland,Group of the European People's Party (Christian Democrats),Fine Gael Party
124985,Luke Ming FLANAGAN,Ireland,The Left group in the European Parliament - GUE/NGL,Independent
197419,Valter FLEGO,Croatia,Renew Europe Group,Istarski demokratski sabor - Dieta democratica istriana
28353,Anna FOTYGA,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość
197414,Loucas FOURLAS,Cyprus,Group of the European People's Party (Christian Democrats),Democratic Rally
198490,Emmanouil FRAGKOS,Greece,European Conservatives and Reformists Group,Elliniki Lusi-Greek Solution
197513,Tomasz FRANKOWSKI,Poland,Group of the European People's Party (Christian Democrats),Platforma Obywatelska
197455,Cindy FRANSSEN,Belgium,Group of the European People's Party (Christian Democrats),Christen-Democratisch & Vlaams
193273,Romeo FRANZ,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
106936,Daniel FREUND,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
197391,Heléne FRITZON,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Arbetarepartiet- Socialdemokraterna
101585,Niels FUGLSANG,Denmark,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socialdemokratiet
197795,Mario FURORE,Italy,Non-attached Members,Movimento 5 Stelle
197555,Søren GADE,Denmark,Renew Europe Group,"Venstre, Danmarks Liberale Parti"
2341,Michael GAHLER,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
28150,Kinga GÁL,Hungary,Non-attached Members,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
197702,Lina GÁLVEZ MUÑOZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español
197632,Claudia GAMON,Austria,Renew Europe Group,NEOS – Das Neue Österreich
197582,Gianna GANCIA,Italy,Identity and Democracy Group,Lega
197717,Ibán GARCÍA DEL BLANCO,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español
1992,José Manuel GARCÍA-MARGALLO Y MARFIL,Spain,Group of the European People's Party (Christian Democrats),Partido Popular
197742,Isabel GARCÍA MUÑOZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español
28298,Iratxe GARCÍA PÉREZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español
96991,Eider GARDIAZABAL RUBIAL,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español
197554,Luis GARICANO,Spain,Renew Europe Group,Ciudadanos – Partido de la Ciudadanía
197628,Jean-Paul GARRAUD,France,Identity and Democracy Group,Rassemblement national
1913,Evelyne GEBHARDT,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands
183916,Alexandra GEESE,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
96833,Jens GEIER,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands
197794,Chiara GEMMA,Italy,Non-attached Members,Movimento 5 Stelle
197416,Giorgos GEORGIOU,Cyprus,The Left group in the European Parliament - GUE/NGL,Progressive Party of Working People - Left - New Forces
197819,Alexis GEORGOULIS,Greece,The Left group in the European Parliament - GUE/NGL,Coalition of the Radical Left
197436,Helmut GEUKING,Germany,Group of the European People's Party (Christian Democrats),Familien-Partei Deutschlands
209140,Vlad GHEORGHE,Romania,Renew Europe Group,Uniunea Salvați România
197804,Dino GIARRUSSO,Italy,Non-attached Members,Movimento 5 Stelle
96730,Sven GIEGOLD,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
124807,Jens GIESEKE,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
202036,Sunčana GLAVAK,Croatia,Group of the European People's Party (Christian Democrats),Hrvatska demokratska zajednica
197443,Andreas GLÜCK,Germany,Renew Europe Group,Freie Demokratische Partei
197694,Raphaël GLUCKSMANN,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Place publique
840,Charles GOERENS,Luxembourg,Renew Europe Group,Parti démocratique
197728,Mónica Silvana GONZÁLEZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español
197718,Nicolás GONZÁLEZ CASARES,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español
125027,Esteban GONZÁLEZ PONS,Spain,Group of the European People's Party (Christian Democrats),Partido Popular
204419,Sandro GOZI,France,Renew Europe Group,Liste Renaissance
125025,Marcel de GRAAFF,Netherlands,Identity and Democracy Group,Partij voor de Vrijheid
197799,Valentino GRANT,Italy,Identity and Democracy Group,Lega
124785,Maria GRAPINI,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partidul Puterii Umaniste
197549,Markéta GREGOROVÁ,Czechia,Group of the Greens/European Free Alliance,PIRÁTI
94649,Catherine GRISET,France,Identity and Democracy Group,Rassemblement national
197780,Bart GROOTHUIS,Netherlands,Renew Europe Group,Volkspartij voor Vrijheid en Democratie
197452,Klemen GROŠELJ,Slovenia,Renew Europe Group,Lista Marjana Šarca
197557,Christophe GRUDLER,France,Renew Europe Group,Mouvement Démocrate
204420,Claude GRUFFAT,France,Group of the Greens/European Free Alliance,Europe Écologie
197618,Elisabetta GUALMINI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico
197645,Francisco GUERREIRO,Portugal,Group of the Greens/European Free Alliance,Independente
197543,Bernard GUETTA,France,Renew Europe Group,Liste Renaissance
96952,Sylvie GUILLAUME,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Parti socialiste
88715,José GUSMÃO,Portugal,The Left group in the European Parliament - GUE/NGL,Bloco de Esquerda
124991,Jytte GUTELAND,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Arbetarepartiet- Socialdemokraterna
198063,Márton GYÖNGYÖSI,Hungary,Non-attached Members,Jobbik Magyarországért Mozgalom
96830,Enikő GYŐRI,Hungary,Non-attached Members,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
23816,András GYÜRK,Hungary,Non-attached Members,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
197444,Svenja HAHN,Germany,Renew Europe Group,Freie Demokratische Partei
197457,Henrike HAHN,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
198176,Roman HAIDER,Austria,Identity and Democracy Group,Freiheitliche Partei Österreichs
34578,Robert HAJŠEL,Slovakia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Independent
197596,Teuvo HAKKARAINEN,Finland,Identity and Democracy Group,Perussuomalaiset
197514,Andrzej HALICKI,Poland,Group of the European People's Party (Christian Democrats),Platforma Obywatelska
193419,Christophe HANSEN,Luxembourg,Group of the European People's Party (Christian Democrats),Parti chrétien social luxembourgeois
96752,Martin HÄUSLING,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
2054,Heidi HAUTALA,Finland,Group of the Greens/European Free Alliance,Vihreä liitto
197646,Mircea-Gheorghe HAVA,Romania,Group of the European People's Party (Christian Democrats),Partidul Naţional Liberal
135511,Valérie HAYER,France,Renew Europe Group,La République en marche
125023,Anja HAZEKAMP,Netherlands,The Left group in the European Parliament - GUE/NGL,Partij voor de Dieren
197682,Hannes HEIDE,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Österreichs
197800,Eero HEINÄLUOMA,Finland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti
197412,Niclas HERBST,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands
197459,Pierrette HERZBERGER-FOFANA,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
124895,Krzysztof HETMAN,Poland,Group of the European People's Party (Christian Democrats),Polskie Stronnictwo Ludowe
124586,Balázs HIDVÉGHI,Hungary,Non-attached Members,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
197526,Martin HLAVÁČEK,Czechia,Renew Europe Group,ANO 2011
96780,Monika HOHLMEIER,Germany,Group of the European People's Party (Christian Democrats),Christlich-Soziale Union in Bayern e.V.
197770,Martin HOJSÍK,Slovakia,Renew Europe Group,Progresívne Slovensko
